epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,1768.15,0.75187,0.69211,0.00374,0.82016,0.77068,0.88277,0.71962,0.60958,0.89167,0.00527,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,1787.03,0.70563,0.70713,0.004,0.82914,0.74665,0.87424,0.71511,0.64387,0.85935,0.00557,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,1805.88,0.74598,0.68123,0.00384,0.83205,0.74545,0.87861,0.71766,0.64199,0.88468,0.00533,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,1825.3,0.71615,0.68212,0.00374,0.81531,0.75145,0.88756,0.73359,0.65883,0.86587,0.00558,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,1844.58,0.7304,0.70739,0.00372,0.82924,0.75953,0.89002,0.72641,0.64909,0.89394,0.00538,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,1863.82,0.7082,0.66999,0.00354,0.83106,0.76551,0.88832,0.72637,0.64701,0.86963,0.00536,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,1883.88,0.71323,0.68176,0.00374,0.82375,0.75626,0.88507,0.72005,0.64218,0.87226,0.00548,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,1904.94,0.72151,0.67146,0.00355,0.83427,0.75689,0.88681,0.7162,0.7052,0.91683,0.00562,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,1925.76,0.73006,0.6674,0.00355,0.82888,0.74787,0.88616,0.73144,0.64003,0.86888,0.00531,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,1947.04,0.72528,0.69555,0.00365,0.83558,0.75467,0.87814,0.72066,0.64575,0.90603,0.00547,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,1967.89,0.6977,0.63292,0.00381,0.842,0.7566,0.88278,0.72065,0.632,0.84837,0.00523,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,1989.06,0.69239,0.672,0.00349,0.89918,0.74042,0.89186,0.72663,0.64853,0.85847,0.00544,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,2008.73,0.71694,0.70456,0.00404,0.89808,0.75109,0.88854,0.71929,0.66174,0.84058,0.00563,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,2028.42,0.68782,0.65431,0.00414,0.89387,0.75529,0.87388,0.70528,0.64639,0.89359,0.00577,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,2047.7,0.66551,0.62577,0.00389,0.88306,0.75297,0.85526,0.69984,0.65257,0.92299,0.00578,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,2067.45,0.62341,0.60365,0.00381,0.86701,0.74335,0.84758,0.68541,0.67597,0.9642,0.00571,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,2087.97,0.61308,0.58931,0.00367,0.86968,0.73352,0.84141,0.67898,0.688,0.96797,0.00586,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,2108.64,0.62718,0.62011,0.0037,0.907,0.71822,0.83776,0.67468,0.69175,0.95935,0.00601,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,2128.98,0.64599,0.62602,0.00384,0.90115,0.71564,0.83048,0.66648,0.69834,0.97561,0.006,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,2149.48,0.61657,0.58964,0.00363,0.8983,0.70868,0.82431,0.65783,0.71215,1.01397,0.00613,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,2169.92,0.66326,0.61853,0.00374,0.90045,0.71025,0.82445,0.65669,0.72553,1.02985,0.0062,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,2190.52,0.6085,0.57543,0.00348,0.89851,0.71025,0.82412,0.65514,0.72861,1.01816,0.00621,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
